order_id,order_date,order_time,menu_item_id,item_name,category,price
1,2023-01-01,0 days 11:38:36,109,Korean Beef Bowl,Asian,17.95
2,2023-01-01,0 days 11:57:40,108,Tofu Pad Thai,Asian,14.5
2,2023-01-01,0 days 11:57:40,124,Spaghetti,Italian,14.5
2,2023-01-01,0 days 11:57:40,117,Chicken Burrito,Mexican,12.95
2,2023-01-01,0 days 11:57:40,129,Mushroom Ravioli,Italian,15.5
2,2023-01-01,0 days 11:57:40,106,French Fries,American,7.0
3,2023-01-01,0 days 12:12:28,117,Chicken Burrito,Mexican,12.95
3,2023-01-01,0 days 12:12:28,119,Chicken Torta,Mexican,11.95
4,2023-01-01,0 days 12:16:31,117,Chicken Burrito,Mexican,12.95
5,2023-01-01,0 days 12:21:30,117,Chicken Burrito,Mexican,12.95
6,2023-01-01,0 days 12:29:36,101,Hamburger,American,12.95
6,2023-01-01,0 days 12:29:36,114,Potstickers,Asian,9.0
7,2023-01-01,0 days 12:50:37,123,Chips & Guacamole,Mexican,9.0
8,2023-01-01,0 days 12:51:37,123,Chips & Guacamole,Mexican,9.0
9,2023-01-01,0 days 12:52:01,108,Tofu Pad Thai,Asian,14.5
9,2023-01-01,0 days 12:52:01,126,Fettuccine Alfredo,Italian,14.5
9,2023-01-01,0 days 12:52:01,110,Pork Ramen,Asian,17.95
9,2023-01-01,0 days 12:52:01,117,Chicken Burrito,Mexican,12.95
9,2023-01-01,0 days 12:52:01,117,Chicken Burrito,Mexican,12.95
9,2023-01-01,0 days 12:52:01,129,Mushroom Ravioli,Italian,15.5
9,2023-01-01,0 days 12:52:01,122,Chips & Salsa,Mexican,7.0
9,2023-01-01,0 days 12:52:01,130,Shrimp Scampi,Italian,19.95
9,2023-01-01,0 days 12:52:01,132,Eggplant Parmesan,Italian,16.95
10,2023-01-01,0 days 13:00:15,129,Mushroom Ravioli,Italian,15.5
10,2023-01-01,0 days 13:00:15,105,Mac & Cheese,American,7.0
11,2023-01-01,0 days 13:02:59,101,Hamburger,American,12.95
11,2023-01-01,0 days 13:02:59,102,Cheeseburger,American,13.95
11,2023-01-01,0 days 13:02:59,102,Cheeseburger,American,13.95
11,2023-01-01,0 days 13:02:59,113,Edamame,Asian,5.0
12,2023-01-01,0 days 13:04:41,102,Cheeseburger,American,13.95
12,2023-01-01,0 days 13:04:41,102,Cheeseburger,American,13.95
12,2023-01-01,0 days 13:04:41,104,Veggie Burger,American,10.5
12,2023-01-01,0 days 13:04:41,117,Chicken Burrito,Mexican,12.95
13,2023-01-01,0 days 13:11:55,129,Mushroom Ravioli,Italian,15.5
14,2023-01-01,0 days 13:14:19,114,Potstickers,Asian,9.0
15,2023-01-01,0 days 13:33:00,107,Orange Chicken,Asian,16.5
15,2023-01-01,0 days 13:33:00,124,Spaghetti,Italian,14.5
15,2023-01-01,0 days 13:33:00,121,Cheese Quesadillas,Mexican,10.5
15,2023-01-01,0 days 13:33:00,114,Potstickers,Asian,9.0
16,2023-01-01,0 days 13:34:07,125,Spaghetti & Meatballs,Italian,17.95
16,2023-01-01,0 days 13:34:07,111,California Roll,Asian,11.95
16,2023-01-01,0 days 13:34:07,106,French Fries,American,7.0
17,2023-01-01,0 days 13:53:00,101,Hamburger,American,12.95
17,2023-01-01,0 days 13:53:00,116,Steak Tacos,Mexican,13.95
17,2023-01-01,0 days 13:53:00,124,Spaghetti,Italian,14.5
17,2023-01-01,0 days 13:53:00,125,Spaghetti & Meatballs,Italian,17.95
17,2023-01-01,0 days 13:53:00,117,Chicken Burrito,Mexican,12.95
17,2023-01-01,0 days 13:53:00,127,Meat Lasagna,Italian,17.95
17,2023-01-01,0 days 13:53:00,128,Cheese Lasagna,Italian,15.5
17,2023-01-01,0 days 13:53:00,129,Mushroom Ravioli,Italian,15.5
17,2023-01-01,0 days 13:53:00,118,Steak Burrito,Mexican,14.95
17,2023-01-01,0 days 13:53:00,131,Chicken Parmesan,Italian,17.95
18,2023-01-01,0 days 13:57:08,111,California Roll,Asian,11.95
19,2023-01-01,0 days 13:59:09,110,Pork Ramen,Asian,17.95
19,2023-01-01,0 days 13:59:09,120,Steak Torta,Mexican,13.95
